Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	10696	21720	0	0	122436	0
1	10696	21720	0	0	122436	0
2	10696	21720	0	0	122436	0
3	10696	21720	0	0	122436	0
4	10696	21720	0	0	122436	0
5	10696	21720	0	0	122436	0
6	10696	21720	0	0	122436	0
7	10696	21720	0	0	122436	0
8	10696	21720	0	0	122436	0
9	10696	21720	0	0	122436	0
10	10696	21720	0	0	122436	0
