TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;02e8cbc9-7fe2-47f2-8fe8-f3d96fa68024;73342d69-e43a-4ef0-b0e8-1c862cfb795c;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;02e8cbc9-7fe2-47f2-8fe8-f3d96fa68024;12604c9e-1641-441d-86c9-ab4cb957ffcb;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;4bfd458c-bbf7-431e-ab97-267e64981ba5;73342d69-e43a-4ef0-b0e8-1c862cfb795c;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;4bfd458c-bbf7-431e-ab97-267e64981ba5;12604c9e-1641-441d-86c9-ab4cb957ffcb;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;1eb09fde-676c-4be6-995d-be9bcbb33691;73342d69-e43a-4ef0-b0e8-1c862cfb795c;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;1eb09fde-676c-4be6-995d-be9bcbb33691;12604c9e-1641-441d-86c9-ab4cb957ffcb;3
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;421fee06-8570-4271-a4c8-a96add55f5fa;73342d69-e43a-4ef0-b0e8-1c862cfb795c;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;421fee06-8570-4271-a4c8-a96add55f5fa;12604c9e-1641-441d-86c9-ab4cb957ffcb;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;421fee06-8570-4271-a4c8-a96add55f5fa;37096274-335d-40fb-924e-229d2cedffd2;3
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;1add3680-f681-4a50-a627-a10e47c23664;73342d69-e43a-4ef0-b0e8-1c862cfb795c;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;1add3680-f681-4a50-a627-a10e47c23664;12604c9e-1641-441d-86c9-ab4cb957ffcb;2
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;216b70e3-87b9-4ebf-bf59-94578e83d1aa;12604c9e-1641-441d-86c9-ab4cb957ffcb;1
011c2b62-4295-414e-903e-3a0ee25c3319;pt_49;216b70e3-87b9-4ebf-bf59-94578e83d1aa;37096274-335d-40fb-924e-229d2cedffd2;1
