ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	3833.4839121029536	13129.482270179074	
1	3833.4839121029536	13129.482270179074	
2	3833.4839121029536	13129.482270179074	
3	3833.4839121029536	13129.482270179074	
4	3833.4839121029536	13129.482270179074	
5	3833.4839121029536	13129.482270179074	
6	3833.4839121029536	13129.482270179074	
7	3833.4839121029536	13129.482270179074	
8	3833.4839121029536	13129.482270179074	
9	3833.4839121029536	13129.482270179074	
10	3833.4839121029536	13129.482270179074	
