Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	14149	33778	0	0	144141	0
1	14149	33778	0	0	144141	0
2	14149	33778	0	0	144141	0
3	14149	33778	0	0	144141	0
4	14149	33778	0	0	144141	0
5	14149	33778	0	0	144141	0
6	14149	33778	0	0	144141	0
7	14149	33778	0	0	144141	0
8	14149	33778	0	0	144141	0
9	14149	33778	0	0	144141	0
10	14149	33778	0	0	144141	0
