TransitRouteId;Departure/vehicleRefId;StopDeparture;StopArrival;Passengers
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;0740b919-defd-4c78-9250-261d6471ecfb;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;3
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;0740b919-defd-4c78-9250-261d6471ecfb;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;06d6f22a-51fd-4113-bba7-a5634e6ce96e;58370cee-4e75-42b2-ab4b-c158fbe140bc;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;38bec0da-8214-414c-b3d5-081400e8dce1;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;38bec0da-8214-414c-b3d5-081400e8dce1;2838fc78-9594-4b6b-86c4-cff56c596866;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;38bec0da-8214-414c-b3d5-081400e8dce1;565cea36-41e8-4e44-bc7b-356271c35a4c;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;16c8d4c0-69a2-4966-8df7-21f6ffc6d438;2838fc78-9594-4b6b-86c4-cff56c596866;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;16c8d4c0-69a2-4966-8df7-21f6ffc6d438;912c0707-ec72-4956-b8a9-ff801f83a87d;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;560cc086-1f75-480a-882f-f654b45ed737;2838fc78-9594-4b6b-86c4-cff56c596866;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;560cc086-1f75-480a-882f-f654b45ed737;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;58370cee-4e75-42b2-ab4b-c158fbe140bc;2838fc78-9594-4b6b-86c4-cff56c596866;4
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;58370cee-4e75-42b2-ab4b-c158fbe140bc;a95802e5-2908-4f62-9e52-caeca9ddc5b4;1
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;pt_217;58370cee-4e75-42b2-ab4b-c158fbe140bc;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;1
