TransitRouteId;StopId;Id;Direction;Name;x;y;h0;h1;h2;h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13;h14;h15;h16;h17;h18;h19;h20;h21;h22;h23;Day
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;0740b919-defd-4c78-9250-261d6471ecfb;0740b919-defd-4c78-9250-261d6471ecfb;exit;;687107.3025179168;6644113.556305783;1;5;4;4;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;entrance;;687916.7350478695;6641883.14750126;14;12;11;14;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;5aa24f61-237e-4ec9-a9b1-b5d7f2dbf1dc;exit;;687916.7350478695;6641883.14750126;13;20;18;30;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;58370cee-4e75-42b2-ab4b-c158fbe140bc;58370cee-4e75-42b2-ab4b-c158fbe140bc;entrance;;688040.4759788738;6640742.396727317;16;27;32;10;12;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;58370cee-4e75-42b2-ab4b-c158fbe140bc;58370cee-4e75-42b2-ab4b-c158fbe140bc;exit;;688040.4759788738;6640742.396727317;11;19;30;20;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;entrance;;688415.82038284;6639939.171400973;13;27;15;12;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;ecc28bbe-dc60-42a1-8c30-7d2324757ef3;exit;;688415.82038284;6639939.171400973;12;27;31;27;21;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;2838fc78-9594-4b6b-86c4-cff56c596866;2838fc78-9594-4b6b-86c4-cff56c596866;entrance;;689100.9251211515;6637239.870322185;25;24;10;9;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;2838fc78-9594-4b6b-86c4-cff56c596866;2838fc78-9594-4b6b-86c4-cff56c596866;exit;;689100.9251211515;6637239.870322185;49;108;94;60;45;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;565cea36-41e8-4e44-bc7b-356271c35a4c;565cea36-41e8-4e44-bc7b-356271c35a4c;entrance;;689461.336354735;6636299.9663534835;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;565cea36-41e8-4e44-bc7b-356271c35a4c;565cea36-41e8-4e44-bc7b-356271c35a4c;exit;;689461.336354735;6636299.9663534835;7;6;2;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;a95802e5-2908-4f62-9e52-caeca9ddc5b4;a95802e5-2908-4f62-9e52-caeca9ddc5b4;entrance;;690614.5911795165;6628260.870117588;1;11;8;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;a95802e5-2908-4f62-9e52-caeca9ddc5b4;a95802e5-2908-4f62-9e52-caeca9ddc5b4;exit;;690614.5911795165;6628260.870117588;2;26;24;22;15;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;912c0707-ec72-4956-b8a9-ff801f83a87d;912c0707-ec72-4956-b8a9-ff801f83a87d;entrance;;690697.0383152309;6627397.498018162;0;2;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;912c0707-ec72-4956-b8a9-ff801f83a87d;912c0707-ec72-4956-b8a9-ff801f83a87d;exit;;690697.0383152309;6627397.498018162;2;19;17;13;13;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;2dc119b4-ee2b-4134-b521-97fcb7db2b12;2dc119b4-ee2b-4134-b521-97fcb7db2b12;entrance;;690741.3497823168;6627139.277359059;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;2dc119b4-ee2b-4134-b521-97fcb7db2b12;2dc119b4-ee2b-4134-b521-97fcb7db2b12;exit;;690741.3497823168;6627139.277359059;1;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;entrance;;690785.2201265254;6626700.643450423;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;5f9e8b7a-958f-4e45-8c20-4a76b464e58c;exit;;690785.2201265254;6626700.643450423;3;9;3;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;25549f6d-f61a-4506-aa8f-9f5c19daede0;25549f6d-f61a-4506-aa8f-9f5c19daede0;entrance;;690894.8877011552;6626088.336925639;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;25549f6d-f61a-4506-aa8f-9f5c19daede0;25549f6d-f61a-4506-aa8f-9f5c19daede0;exit;;690894.8877011552;6626088.336925639;2;13;8;7;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;entrance;;691304.0139240881;6625827.63626807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;61cf245d-eb36-43f5-8e3f-2c33fcc9a8a2;exit;;691304.0139240881;6625827.63626807;2;8;6;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;3db4a004-054b-4885-82ef-9b6c132de667;3db4a004-054b-4885-82ef-9b6c132de667;entrance;;691668.05844273;6625624.118970937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3cf4c548-ed1e-4a7b-bbdc-afb4863d4e0d;3db4a004-054b-4885-82ef-9b6c132de667;3db4a004-054b-4885-82ef-9b6c132de667;exit;;691668.05844273;6625624.118970937;0;8;3;5;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
