,grid_id,geometry
100,100,"POLYGON ((29.289806805422828 59.65799200404739, 29.290404770544605 59.66675771119674, 29.30773164523832 59.66645396667284, 29.30712916626843 59.65768836555883, 29.289806805422828 59.65799200404739))"
101,101,"POLYGON ((29.290404770544605 59.66675771119674, 29.29100310146288 59.67552340288898, 29.308334492758362 59.675219552274484, 29.30773164523832 59.66645396667284, 29.290404770544605 59.66675771119674))"
102,102,"POLYGON ((29.29100310146288 59.67552340288898, 29.291601798491985 59.68428907912294, 29.308937709145223 59.6839851223625, 29.308334492758362 59.675219552274484, 29.29100310146288 59.67552340288898))"
103,103,"POLYGON ((29.291601798491985 59.68428907912294, 29.292200861946597 59.69305473989749, 29.30954129471595 59.69275067693577, 29.308937709145223 59.6839851223625, 29.291601798491985 59.68428907912294))"
104,104,"POLYGON ((29.292200861946597 59.69305473989749, 29.292800292141767 59.701820385211555, 29.31014524978795 59.70151621599312, 29.30954129471595 59.69275067693577, 29.292200861946597 59.69305473989749))"
105,105,"POLYGON ((29.292800292141767 59.701820385211555, 29.293400089392904 59.71058601506394, 29.310749574679004 59.71028173953331, 29.31014524978795 59.70151621599312, 29.292800292141767 59.701820385211555))"
106,106,"POLYGON ((29.293400089392904 59.71058601506394, 29.294000254015796 59.719351629453506, 29.31135426970725 59.71904724755519, 29.310749574679004 59.71028173953331, 29.293400089392904 59.71058601506394))"
107,107,"POLYGON ((29.294000254015796 59.719351629453506, 29.29460078632657 59.72811722837911, 29.311959335191215 59.72781274005753, 29.31135426970725 59.71904724755519, 29.294000254015796 59.719351629453506))"
108,108,"POLYGON ((29.29460078632657 59.72811722837911, 29.29520168664174 59.73688281183962, 29.312564771449768 59.736578217039174, 29.311959335191215 59.72781274005753, 29.29460078632657 59.72811722837911))"
109,109,"POLYGON ((29.29520168664174 59.73688281183962, 29.295802955278187 59.745648379833895, 29.31317057880216 59.745343678498905, 29.312564771449768 59.736578217039174, 29.29520168664174 59.73688281183962))"
110,110,"POLYGON ((29.295802955278187 59.745648379833895, 29.296404592553152 59.754413932360755, 29.313776757568014 59.75410912443555, 29.31317057880216 59.745343678498905, 29.295802955278187 59.745648379833895))"
111,111,"POLYGON ((29.296404592553152 59.754413932360755, 29.297006598784243 59.76317946941908, 29.31438330806733 59.762874554847855, 29.313776757568014 59.75410912443555, 29.296404592553152 59.754413932360755))"
112,112,"POLYGON ((29.297006598784243 59.76317946941908, 29.297608974289446 59.77194499100767, 29.31499023062047 59.771639969734686, 29.31438330806733 59.762874554847855, 29.297006598784243 59.76317946941908))"
113,113,"POLYGON ((29.297608974289446 59.77194499100767, 29.298211719387098 59.78071049712541, 29.315597525548153 59.78040536909474, 29.31499023062047 59.771639969734686, 29.297608974289446 59.77194499100767))"
114,114,"POLYGON ((29.298211719387098 59.78071049712541, 29.298814834395923 59.78947598777112, 29.316205193171506 59.78917075292689, 29.315597525548153 59.78040536909474, 29.298211719387098 59.78071049712541))"
115,115,"POLYGON ((29.298814834395923 59.78947598777112, 29.299418319635006 59.79824146294363, 29.316813233812 59.797936121229895, 29.316205193171506 59.78917075292689, 29.298814834395923 59.78947598777112))"
116,116,"POLYGON ((29.299418319635006 59.79824146294363, 29.300022175423813 59.807006922641776, 29.317421647791488 59.80670147400253, 29.316813233812 59.797936121229895, 29.299418319635006 59.79824146294363))"
117,117,"POLYGON ((29.300022175423813 59.807006922641776, 29.30062640208216 59.815772366864394, 29.31803043543219 59.81546681124358, 29.317421647791488 59.80670147400253, 29.300022175423813 59.807006922641776))"
118,118,"POLYGON ((29.30062640208216 59.815772366864394, 29.301230999930247 59.82453779561032, 29.31863959705671 59.82423213295184, 29.31803043543219 59.81546681124358, 29.30062640208216 59.815772366864394))"
119,119,"POLYGON ((29.301230999930247 59.82453779561032, 29.301835969288657 59.83330320887835, 29.319249132988027 59.83299743912607, 29.31863959705671 59.82423213295184, 29.301230999930247 59.82453779561032))"
120,120,"POLYGON ((29.301835969288657 59.83330320887835, 29.30244131047833 59.84206860666733, 29.319859043549496 59.84176272976503, 29.319249132988027 59.83299743912607, 29.301835969288657 59.83330320887835))"
121,121,"POLYGON ((29.30244131047833 59.84206860666733, 29.303047023820582 59.85083398897608, 29.32046932906483 59.85052800486749, 29.319859043549496 59.84176272976503, 29.30244131047833 59.84206860666733))"
122,122,"POLYGON ((29.303047023820582 59.85083398897608, 29.303653109637104 59.85959935580337, 29.321079989858138 59.85929326443224, 29.32046932906483 59.85052800486749, 29.303047023820582 59.85083398897608))"
123,123,"POLYGON ((29.303653109637104 59.85959935580337, 29.304259568249957 59.86836470714809, 29.32169102625391 59.86805850845806, 29.321079989858138 59.85929326443224, 29.303653109637104 59.85959935580337))"
124,124,"POLYGON ((29.304259568249957 59.86836470714809, 29.304866399981595 59.87713004300899, 29.322302438576983 59.87682373694365, 29.32169102625391 59.86805850845806, 29.304259568249957 59.86836470714809))"
125,125,"POLYGON ((29.304866399981595 59.87713004300899, 29.305473605154823 59.88589536338492, 29.32291422715262 59.88558894988783, 29.322302438576983 59.87682373694365, 29.304866399981595 59.87713004300899))"
126,126,"POLYGON ((29.305473605154823 59.88589536338492, 29.30608118409283 59.89466066827466, 29.32352639230641 59.89435414728934, 29.32291422715262 59.88558894988783, 29.305473605154823 59.88589536338492))"
127,127,"POLYGON ((29.30608118409283 59.89466066827466, 29.306689137119193 59.90342595767703, 29.324138934364356 59.90311932914692, 29.32352639230641 59.89435414728934, 29.30608118409283 59.89466066827466))"
128,128,"POLYGON ((29.306689137119193 59.90342595767703, 29.307297464557855 59.91219123159083, 29.32475185365283 59.911884495459326, 29.324138934364356 59.90311932914692, 29.306689137119193 59.90342595767703))"
129,129,"POLYGON ((29.307297464557855 59.91219123159083, 29.30790616673313 59.920956490014845, 29.325365150498595 59.920649646225314, 29.32475185365283 59.911884495459326, 29.307297464557855 59.91219123159083))"
130,130,"POLYGON ((29.30790616673313 59.920956490014845, 29.308515243969723 59.92972173294786, 29.325978825228773 59.92941478144362, 29.325365150498595 59.920649646225314, 29.30790616673313 59.920956490014845))"
131,131,"POLYGON ((29.308515243969723 59.92972173294786, 29.309124696592715 59.938486960388694, 29.326592878170885 59.93817990111298, 29.325978825228773 59.92941478144362, 29.308515243969723 59.92972173294786))"
132,132,"POLYGON ((29.309124696592715 59.938486960388694, 29.30973452492756 59.94725217233614, 29.327207309652824 59.94694500523216, 29.326592878170885 59.93817990111298, 29.309124696592715 59.938486960388694))"
133,133,"POLYGON ((29.30973452492756 59.94725217233614, 29.310344729300102 59.95601736878894, 29.327822120002878 59.95571009379986, 29.327207309652824 59.94694500523216, 29.30973452492756 59.94725217233614))"
134,134,"POLYGON ((29.310344729300102 59.95601736878894, 29.310955310036558 59.96478254974594, 29.328437309549702 59.96447516681485, 29.327822120002878 59.95571009379986, 29.310344729300102 59.95601736878894))"
135,135,"POLYGON ((29.310955310036558 59.96478254974594, 29.311566267463515 59.97354771520586, 29.329052878622353 59.973240224275834, 29.328437309549702 59.96447516681485, 29.310955310036558 59.96478254974594))"
136,136,"POLYGON ((29.311566267463515 59.97354771520586, 29.31217760190797 59.98231286516753, 29.32966882755025 59.982005266181545, 29.329052878622353 59.973240224275834, 29.311566267463515 59.97354771520586))"
137,137,"POLYGON ((29.31217760190797 59.98231286516753, 29.312789313697262 59.9910779996297, 29.330285156663216 59.99077029253074, 29.32966882755025 59.982005266181545, 29.31217760190797 59.98231286516753))"
138,138,"POLYGON ((29.312789313697262 59.9910779996297, 29.313401403159155 59.99984311859115, 29.330901866291452 59.9995353033221, 29.330285156663216 59.99077029253074, 29.312789313697262 59.9910779996297))"
139,139,"POLYGON ((29.313401403159155 59.99984311859115, 29.314013870621775 60.00860822205064, 29.33151895676554 60.00830029855436, 29.330901866291452 59.9995353033221, 29.313401403159155 59.99984311859115))"
140,140,"POLYGON ((29.314013870621775 60.00860822205064, 29.314626716413624 60.017373310006974, 29.332136428416458 60.017065278226255, 29.33151895676554 60.00830029855436, 29.314013870621775 60.00860822205064))"
141,141,"POLYGON ((29.314626716413624 60.017373310006974, 29.3152399408636 60.02613838245887, 29.332754281575568 60.02583024233647, 29.332136428416458 60.017065278226255, 29.314626716413624 60.017373310006974))"
