,grid_id_origin,time_origin,grid_id_dest,time_dest,trips_cnt
127,1845,02:00:00,2892,02:00:00,1
128,1845,03:00:00,2805,03:00:00,1
129,1845,05:00:00,2456,05:00:00,1
130,1845,05:00:00,2892,05:00:00,1
131,1845,22:00:00,2979,22:00:00,1
132,1845,23:00:00,4388,00:00:00,1
133,1845,23:00:00,4821,00:00:00,1
134,1865,00:00:00,2390,00:00:00,1
135,1865,04:00:00,2053,04:00:00,1
136,1865,04:00:00,2390,04:00:00,1
137,1865,22:00:00,2391,22:00:00,1
138,1866,22:00:00,4754,23:00:00,1
139,1871,23:00:00,2053,23:00:00,1
140,1872,00:00:00,2315,01:00:00,1
141,1901,22:00:00,2422,22:00:00,1
142,1901,23:00:00,4750,00:00:00,1
143,1902,01:00:00,3115,02:00:00,1
144,1903,22:00:00,2510,23:00:00,1
145,1906,01:00:00,2768,01:00:00,1
146,1906,22:00:00,1990,22:00:00,1
147,1906,22:00:00,3281,23:00:00,1
148,1906,23:00:00,1990,23:00:00,1
149,1926,03:00:00,4903,04:00:00,1
150,1953,02:00:00,2478,02:00:00,1
151,1953,03:00:00,5427,04:00:00,1
152,1954,01:00:00,4386,01:00:00,1
153,1954,04:00:00,2390,04:00:00,1
154,1954,22:00:00,2391,22:00:00,1
155,1954,22:00:00,2391,23:00:00,1
156,1954,23:00:00,5353,23:00:00,1
157,1958,00:00:00,2131,00:00:00,1
158,1958,00:00:00,2314,00:00:00,1
159,1958,02:00:00,5884,02:00:00,1
160,1963,22:00:00,1763,22:00:00,1
161,1988,00:00:00,2508,00:00:00,1
162,1988,22:00:00,1473,23:00:00,1
163,1988,23:00:00,3282,00:00:00,1
164,1989,00:00:00,2595,00:00:00,1
165,1989,00:00:00,2768,00:00:00,1
166,1989,00:00:00,6135,01:00:00,1
167,1989,02:00:00,2856,02:00:00,1
168,1989,02:00:00,3195,02:00:00,1
169,1989,03:00:00,1473,03:00:00,1
170,1989,03:00:00,3371,04:00:00,1
171,1989,04:00:00,3283,04:00:00,1
172,1989,04:00:00,5348,05:00:00,1
173,1989,23:00:00,3115,00:00:00,1
174,1989,23:00:00,4489,00:00:00,1
175,1989,23:00:00,5178,00:00:00,1
176,1989,23:00:00,5696,01:00:00,1
177,1990,00:00:00,1386,00:00:00,1
178,1990,01:00:00,1387,02:00:00,1
179,1990,01:00:00,1473,01:00:00,1
180,1990,01:00:00,1906,01:00:00,1
181,1990,01:00:00,4668,01:00:00,1
182,1990,02:00:00,2248,02:00:00,1
183,1990,04:00:00,2168,05:00:00,1
184,1990,04:00:00,4990,05:00:00,1
185,1990,22:00:00,1736,23:00:00,1
186,1990,22:00:00,2941,23:00:00,1
187,1990,22:00:00,4833,23:00:00,1
188,1990,22:00:00,5010,23:00:00,1
189,1990,23:00:00,2510,23:00:00,1
190,1990,23:00:00,4489,00:00:00,1
191,1990,23:00:00,4764,23:00:00,1
192,1990,23:00:00,5352,00:00:00,1
193,1991,02:00:00,2768,02:00:00,1
194,1993,23:00:00,1640,23:00:00,1
195,2014,22:00:00,4474,23:00:00,1
196,2018,23:00:00,3938,00:00:00,1
197,2030,22:00:00,2390,22:00:00,1
198,2040,22:00:00,1256,22:00:00,1
199,2042,02:00:00,2391,02:00:00,1
200,2042,22:00:00,2390,23:00:00,1
201,2042,23:00:00,6135,01:00:00,1
202,2045,02:00:00,2315,02:00:00,1
203,2045,04:00:00,2390,04:00:00,1
204,2045,04:00:00,5353,05:00:00,1
205,2045,05:00:00,1351,05:00:00,1
206,2045,05:00:00,2735,05:00:00,1
207,2053,00:00:00,4490,00:00:00,1
208,2053,00:00:00,4665,00:00:00,1
209,2053,04:00:00,5019,04:00:00,1
210,2054,00:00:00,2487,00:00:00,1
211,2054,01:00:00,2401,02:00:00,1
212,2075,01:00:00,2595,01:00:00,1
213,2107,23:00:00,2112,23:00:00,1
214,2112,00:00:00,3083,00:00:00,1
215,2112,22:00:00,5092,23:00:00,1
216,2113,02:00:00,3084,02:00:00,1
217,2119,02:00:00,2823,02:00:00,1
218,2119,23:00:00,2648,23:00:00,1
219,2120,00:00:00,3170,01:00:00,1
220,2129,00:00:00,5449,01:00:00,1
221,2129,01:00:00,2477,01:00:00,1
222,2129,23:00:00,1351,23:00:00,1
223,2129,23:00:00,2736,23:00:00,1
224,2129,23:00:00,2822,23:00:00,1
225,2130,00:00:00,3084,01:00:00,1
226,2132,23:00:00,2314,23:00:00,1
227,2141,00:00:00,4233,01:00:00,1
228,2141,01:00:00,1780,02:00:00,1
229,2141,01:00:00,4055,01:00:00,1
230,2141,02:00:00,2392,02:00:00,1
231,2141,04:00:00,2131,04:00:00,1
232,2142,00:00:00,2401,01:00:00,1
233,2142,01:00:00,2141,01:00:00,1
234,2142,02:00:00,2565,03:00:00,1
235,2142,05:00:00,5170,06:00:00,1
236,2142,22:00:00,3360,23:00:00,1
237,2142,22:00:00,5267,23:00:00,2
238,2142,22:00:00,5346,23:00:00,1
239,2142,22:00:00,6134,23:00:00,1
240,2142,23:00:00,5700,00:00:00,1
241,2143,22:00:00,4660,23:00:00,1
242,2162,22:00:00,2168,22:00:00,1
243,2162,22:00:00,2681,23:00:00,1
244,2168,23:00:00,1990,23:00:00,1
245,2168,23:00:00,2249,23:00:00,1
246,2188,23:00:00,4111,23:00:00,1
247,2198,00:00:00,5536,01:00:00,1
248,2207,00:00:00,2735,00:00:00,1
249,2208,00:00:00,2823,01:00:00,1
250,2208,22:00:00,2823,23:00:00,1
251,2218,01:00:00,4507,02:00:00,1
252,2218,05:00:00,4752,06:00:00,1
253,2227,23:00:00,5167,00:00:00,1
254,2228,02:00:00,4576,02:00:00,1
255,2248,02:00:00,3028,02:00:00,1
256,2248,03:00:00,3374,03:00:00,1
257,2248,05:00:00,2768,05:00:00,1
258,2248,05:00:00,5195,06:00:00,1
259,2249,04:00:00,3281,04:00:00,1
260,2249,23:00:00,506,23:00:00,1
261,2249,23:00:00,5441,00:00:00,1
262,2250,22:00:00,1386,22:00:00,1
263,2255,22:00:00,1990,22:00:00,1
264,2275,22:00:00,4037,23:00:00,1
265,2285,23:00:00,4821,00:00:00,1
266,2304,23:00:00,4645,00:00:00,1
267,2305,23:00:00,5258,23:00:00,1
268,2313,00:00:00,5628,00:00:00,1
269,2314,00:00:00,1437,01:00:00,1
270,2314,00:00:00,1781,00:00:00,1
271,2314,00:00:00,2142,01:00:00,1
272,2314,00:00:00,4571,01:00:00,1
273,2314,00:00:00,4750,01:00:00,1
274,2314,01:00:00,5712,01:00:00,1
275,2314,02:00:00,3450,02:00:00,1
276,2314,02:00:00,5517,03:00:00,1
277,2314,03:00:00,3535,04:00:00,1
278,2314,03:00:00,4834,04:00:00,1
279,2314,04:00:00,3947,05:00:00,1
280,2314,04:00:00,4659,05:00:00,1
281,2314,22:00:00,5353,23:00:00,1
282,2314,22:00:00,6133,23:00:00,1
283,2314,23:00:00,4491,00:00:00,1
284,2315,00:00:00,2824,01:00:00,1
285,2315,00:00:00,3621,01:00:00,1
286,2315,00:00:00,5715,01:00:00,1
287,2315,01:00:00,2304,01:00:00,1
288,2315,01:00:00,4489,01:00:00,1
289,2315,01:00:00,4663,01:00:00,1
290,2315,01:00:00,6138,02:00:00,1
291,2315,02:00:00,4750,03:00:00,1
292,2315,22:00:00,4233,23:00:00,1
293,2315,22:00:00,5366,23:00:00,1
294,2335,00:00:00,3195,00:00:00,1
295,2335,00:00:00,3463,00:00:00,1
296,2335,00:00:00,5095,01:00:00,1
297,2343,00:00:00,1472,01:00:00,2
298,2345,00:00:00,3203,00:00:00,1
299,2387,22:00:00,1004,22:00:00,1
300,2390,00:00:00,2648,00:00:00,1
301,2390,00:00:00,2822,00:00:00,1
302,2390,00:00:00,3256,01:00:00,1
303,2390,00:00:00,4491,02:00:00,1
304,2390,01:00:00,2822,01:00:00,1
305,2390,01:00:00,4380,02:00:00,1
306,2390,01:00:00,4827,01:00:00,1
307,2390,02:00:00,2822,02:00:00,1
308,2390,02:00:00,4907,03:00:00,1
309,2390,02:00:00,5180,03:00:00,1
310,2390,03:00:00,2132,03:00:00,1
311,2390,03:00:00,3170,04:00:00,1
312,2390,03:00:00,5519,03:00:00,1
313,2390,04:00:00,1954,04:00:00,1
314,2390,04:00:00,4298,05:00:00,1
315,2390,04:00:00,5517,05:00:00,1
316,2390,22:00:00,1696,23:00:00,1
317,2390,22:00:00,2042,22:00:00,1
318,2390,22:00:00,2132,23:00:00,1
319,2390,23:00:00,2132,00:00:00,1
320,2390,23:00:00,2132,23:00:00,1
321,2390,23:00:00,2822,23:00:00,1
322,2390,23:00:00,2992,23:00:00,1
323,2390,23:00:00,4026,23:00:00,1
324,2391,00:00:00,2120,00:00:00,1
325,2391,00:00:00,2822,00:00:00,1
326,2391,00:00:00,2910,00:00:00,1
327,2391,00:00:00,4562,01:00:00,1
328,2391,00:00:00,4578,01:00:00,1
329,2391,00:00:00,5179,01:00:00,1
330,2391,00:00:00,6471,01:00:00,1
331,2391,01:00:00,2823,01:00:00,1
332,2391,01:00:00,4647,02:00:00,1
333,2391,02:00:00,2042,02:00:00,1
334,2391,02:00:00,3431,02:00:00,1
335,2391,02:00:00,4379,02:00:00,1
336,2391,03:00:00,1437,04:00:00,1
337,2391,03:00:00,5020,03:00:00,1
338,2391,04:00:00,1781,04:00:00,1
339,2391,04:00:00,2997,04:00:00,1
340,2391,05:00:00,2471,05:00:00,1
341,2391,05:00:00,5696,06:00:00,1
342,2391,22:00:00,3256,23:00:00,1
343,2391,22:00:00,5520,23:00:00,1
344,2391,23:00:00,3171,23:00:00,1
345,2391,23:00:00,4735,01:00:00,1
346,2391,23:00:00,4917,23:00:00,1
347,2391,23:00:00,4990,23:00:00,1
348,2391,23:00:00,5108,00:00:00,1
349,2392,01:00:00,2912,01:00:00,1
350,2392,01:00:00,3256,01:00:00,1
351,2392,02:00:00,1351,02:00:00,1
352,2392,02:00:00,2822,02:00:00,1
353,2392,02:00:00,4894,03:00:00,1
354,2392,05:00:00,1351,05:00:00,1
355,2392,22:00:00,1783,22:00:00,1
356,2392,22:00:00,1783,23:00:00,1
357,2392,23:00:00,1693,00:00:00,1
358,2392,23:00:00,2823,23:00:00,1
359,2392,23:00:00,3084,23:00:00,1
360,2392,23:00:00,4582,00:00:00,1
361,2392,23:00:00,4840,00:00:00,1
362,2400,00:00:00,5435,01:00:00,1
363,2400,01:00:00,2141,01:00:00,1
364,2400,01:00:00,5343,02:00:00,1
365,2400,02:00:00,4213,03:00:00,1
366,2400,03:00:00,2131,04:00:00,1
367,2400,05:00:00,4586,06:00:00,1
368,2400,23:00:00,4300,00:00:00,1
369,2400,23:00:00,5196,00:00:00,1
370,2401,00:00:00,5105,00:00:00,1
371,2401,00:00:00,6137,01:00:00,1
372,2401,01:00:00,4824,02:00:00,1
373,2401,22:00:00,5964,23:00:00,1
374,2402,23:00:00,5093,00:00:00,1
375,2422,00:00:00,4990,01:00:00,1
376,2422,22:00:00,5182,23:00:00,1
377,2432,01:00:00,1989,02:00:00,1
378,2432,01:00:00,2168,01:00:00,1
379,2432,22:00:00,1118,23:00:00,1
380,2432,22:00:00,5457,00:00:00,1
381,2456,06:00:00,1845,06:00:00,1
382,2470,22:00:00,3947,22:00:00,1
383,2471,05:00:00,4124,06:00:00,1
384,2471,05:00:00,4382,06:00:00,1
385,2471,23:00:00,3256,23:00:00,1
386,2475,03:00:00,2559,03:00:00,1
387,2475,03:00:00,2559,04:00:00,1
388,2476,05:00:00,2909,05:00:00,1
389,2476,05:00:00,3083,06:00:00,1
390,2476,06:00:00,2998,06:00:00,1
391,2476,23:00:00,2822,23:00:00,1
392,2477,03:00:00,3171,03:00:00,1
393,2478,00:00:00,3170,00:00:00,1
394,2478,00:00:00,3256,01:00:00,1
395,2478,01:00:00,2823,02:00:00,1
396,2478,01:00:00,5163,02:00:00,1
397,2478,02:00:00,3947,02:00:00,1
398,2478,04:00:00,5079,05:00:00,1
399,2478,22:00:00,2129,22:00:00,1
400,2478,22:00:00,3517,23:00:00,1
401,2478,22:00:00,4559,23:00:00,1
402,2478,22:00:00,4647,23:00:00,1
403,2478,22:00:00,5353,23:00:00,1
404,2478,23:00:00,1953,23:00:00,1
405,2478,23:00:00,2314,00:00:00,1
406,2478,23:00:00,2822,23:00:00,1
407,2478,23:00:00,3171,23:00:00,1
408,2478,23:00:00,4582,00:00:00,1
409,2478,23:00:00,4990,23:00:00,1
410,2479,05:00:00,3170,06:00:00,1
411,2487,00:00:00,4299,01:00:00,1
412,2487,00:00:00,4315,00:00:00,1
413,2487,00:00:00,4669,00:00:00,1
414,2487,00:00:00,5097,01:00:00,1
415,2487,00:00:00,5267,00:00:00,1
416,2487,00:00:00,6746,02:00:00,1
417,2487,01:00:00,4489,02:00:00,1
418,2487,01:00:00,5890,03:00:00,1
419,2487,02:00:00,4576,02:00:00,1
420,2487,02:00:00,5959,03:00:00,1
421,2487,23:00:00,5969,00:00:00,1
422,2488,00:00:00,4669,01:00:00,1
423,2488,22:00:00,2142,23:00:00,1
424,2488,23:00:00,1967,00:00:00,1
425,2508,00:00:00,5518,00:00:00,1
426,2508,00:00:00,5602,01:00:00,1
427,2508,00:00:00,6133,01:00:00,1
428,2508,02:00:00,3374,02:00:00,1
429,2508,03:00:00,5084,03:00:00,1
430,2508,22:00:00,3195,22:00:00,1
431,2508,22:00:00,5803,23:00:00,1
432,2508,22:00:00,6638,23:00:00,1
433,2508,23:00:00,3383,00:00:00,1
434,2508,23:00:00,4841,00:00:00,1
435,2508,23:00:00,5359,23:00:00,1
436,2508,23:00:00,5628,00:00:00,1
437,2509,00:00:00,1989,00:00:00,1
438,2509,22:00:00,1989,22:00:00,1
439,2510,00:00:00,3195,00:00:00,1
440,2510,01:00:00,3368,01:00:00,1
441,2510,22:00:00,5785,23:00:00,1
